A373R1	tumour
A373R2	control
A373R3	tumour
A373R4	control
A373R5	tumour
A373R6	control
A373R7	tumour
A373R8	control
A373R9	tumour
A373R10	control
A373R11	tumour
A373R12	control
A373R13	tumour
A373R14	control
A512R17	tumour
A512R18	control
A512R19	tumour
A512R20	control
A512R21	tumour
A512R22	control
A512R23	tumour
A512R24	control
A573R25	tumour
A573R26	control
A573R27	tumour
A573R28	control
A573R29	tumour
A573R30	control
A573R31	tumour
A573R32	control
A573R33	tumour
A573R34	control
A785-A788R1	tumour
A785-A788R2	control
A785-A788R3	tumour
A785-A788R4	control
A785-A788R5	tumour
A785-A788R6	control
A785-A788R7	tumour
A785-A788R8	control
A785-A788R9	tumour
A785-A788R10	control
A785-A788R11	tumour
A785-A788R12	control
B241R35	tumour
B241R36	control
B241R37	tumour
B241R38	control
B241R39	tumour
B241R40	control
B241R43	tumour
B241R44	control
B241R45	tumour
B241R46	control
B241R49	tumour
B241R50	control
B241R51	tumour
B241R52	control
B241R53	tumour
B241R54	control
B241R55	tumour
B241R56	control
B241R57	tumour
B241R58	control
B241R59	tumour
B241R60	control
B241R61	tumour
B241R62	control
B241R63	tumour
B241R64	control
B241R41-1	tumour
B241R42-1	control
B241R41-2	tumour
B241R42-2	control
D050R01	tumour
D050R02	control
D050R03	tumour
D050R04	control
D050R05	tumour
D050R06	control
D050R07-1	tumour
D050R08-1	control
D050R07-2	tumour
D050R08-2	control
D050R10	tumour
D050R11	control
D050R12	tumour
D050R13	control
D050R14	tumour
D050R15	control
D050R16	tumour
D050R17	control
D050R18	tumour
D050R19	control
D050R20	tumour
D050R21	control
D050R22	tumour
D050R23	control
D050R24	tumour
D050R25	control
D106R1	tumour
D106R2	control
D106R3	tumour
D106R4	control
D106R5	tumour
D106R6	control
D106R7	tumour
D106R8	control
D106R9	tumour
D106R10	control
D106R11	tumour
D106R12	control
D106R13	tumour
D106R14	control
D106R15	tumour
D106R16	control
D106R17	tumour
D106R18	control
D106R19	tumour
D106R20	control
D106R21	tumour
D106R22	control
D106R23	tumour
D106R24	control
D106R25	tumour
D106R26	control
D106R27	tumour
D106R28	control
D106R29	tumour
D106R30	control
D106R31	tumour
D106R32	control
D106R33	tumour
D106R34	control
HUM-1	tumour
HUM-3	control
HUM-4	tumour
HUM-6	control
HUM-7	tumour
HUM-9	control
D197R01	tumour
D197R02	control
D197R03	tumour
D197R04	control
D197R05	tumour
D197R06	control
D197R07	tumour
D197R08	control
D197R09	tumour
D197R10	control
D197R11	tumour
D197R12	control
D197R13	tumour
D197R14	control
D197R15	tumour
D197R16	control
D265R01	tumor
D265R02	control
D265R03	tumor
D265R04	control
D265R05	tumor
D265R06	control
D265R07	tumor
D265R08	control
D265R09	tumor
D265R10	control
D265R11	tumor
D265R12	control
D265R13	tumor
D265R14	control
D477R01	tumor
D477R02	control
D477R03	tumor
D477R04	control
D477R05	tumor
D477R06	control
D477R07	tumor
D477R08	control
D477R09	tumor
D477R10	control
D477R11	tumor
D477R12	control
D477R13	tumor
D477R14	control
D477R15	tumor
D477R16	control
D477R17	tumor
D477R18	control
D477R19	tumor
D477R20	control